"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.4636209813875","88.7044534412956","86.2509117432531","83.629654478363","84.6303501945525","70.6868685663848","69.3943248480407","68.6664578409317","70.0630780331023","67.7653712810757","76.9749819561498","76.4484740814733","74.9110469524375","73.5808547588983","74.6380124647528","75.2464685871092","84.6867741066482","83.5416514017811","85.3429686877605","84.6065584238676","72.9807504481858","70.4193283773103","71.2556056890066","72.9607783956333","72.1089811926666","71.1446619591487","76.2755332285109","85.3138912529104","81.4544965060421","",
"Africa Eastern and Southern","AFE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7564202383791","19.6188188533634","21.1798822619309","21.2834657221496","24.1094352659323","25.9612890532424","26.4377036681969","26.0694446272456","27.2206538107832","25.6926596195753","25.849428335586","26.5617779634474","27.6438469402222","26.1306706001518","26.8447087056698","28.009780503315","29.3762535517047","31.6689244351137","35.9440412157811","31.5592466820479","29.895705084829","32.1243792143499","33.1581546454217","34.1677103258738","33.0532735485489","30.8996067108143","28.3968062256938","26.5347902909732","28.4761072594243","26.700455682776","24.2139300025389","26.2907899654868","29.964385215871","27.6070120921207","",
"Afghanistan","AFG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.2890774127896","37.06956357719","54.5054272070161","50.498206993764","",
"Africa Western and Central","AFW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.2167466955221","49.5798907399883","45.1995887314867","41.0646943598961","31.1572958281252","40.1542845215112","48.8896796542348","63.6888438415367","42.5805194236924","39.3125588161519","35.8599667074303","36.0648469678372","34.6378933219044","33.1339181383385","25.2456726203982","23.2527202247958","25.541723496358","17.0387830650203","27.6274881904292","26.7192226195468","25.2994284078973","26.1849092185214","",
"Albania","ALB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.5366005935177","22.2899596239822","24.7376437022741","21.558592462639","20.075351594758","19.1144514025886","16.0311247475208","16.1296420781227","19.9184766016104","21.4727330022325","24.0318995737727","28.5857013386048","96.2858807479086","64.5395029570264","41.1188903879182","34.9697653759195","33.27511148197","35.2284289698301","36.6703685610943","34.1692673931568","43.3387875873655","45.1576132001299","47.5794520503068","46.1731745895907","44.8296265467915","47.85935562815","49.0574825118736","54.9542146887506","52.1493333802176","49.8541657924919","48.5639550032469","51.9770317939697","47.572712860263","46.9573987095321","47.19484413802","44.5336151883802","45.8319636476989","46.6244512220264","44.5800603046607","44.4460249326456","36.9799408832001","44.4572960793289","47.5009791073865","43.8286028086077","",
"Andorra","AND","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.2139058123315","38.2366076162264","37.8415501519654","37.1135370436764","32.8867063173181","33.6181768184406","32.0569227158414","31.8934665868671","33.4451548940769","31.3300081984243","29.924578432594","30.7768124604462","31.6842138523035","32.5615631256253","35.1229866033325","35.1102365503108","35.0163209640144","39.3795786713094","40.1648598864798","41.6977405549049","36.8013505879604","35.3720863729222","36.0868299778038","37.279137988662","38.5045194302452","41.0264787145006","38.6215171463632","39.3860451525478","37.0406248779122","37.9537712962421","37.3336147965131","37.0310276844934","37.3129254524579","40.8604660808739","",
"United Arab Emirates","ARE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7053546013305","43.5683114306968","46.3769702756087","53.0548827099662","51.9675602523703","50.8428719062721","64.4140553654625","69.6456553241827","73.8086264961866","59.4994234510332","59.8540595708254","62.3355072430771","63.092896368003","66.4350143515023","72.6484310679123","73.3137080819945","73.0665008487005","65.9257962668894","73.2085188940452","85.0503934921793","83.7058484917282","85.1332094129937","93.7216646058461","",
"Argentina","ARG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.60404697912324","5.99494531619397","9.38368289056535","7.89045203275027","5.56371407476368","4.15058297228058","4.98968803354159","4.99706414666865","5.40371142251908","6.3987133165299","4.73587740491927","6.60795603425504","6.837877358188","5.70950079036544","6.28900906002225","5.97867249611964","5.92149632785012","7.32639415522164","5.71540643432211","6.32976917437938","6.48369977956918","7.37192799857345","6.52099302139343","5.83614942003836","4.75648611743286","6.27332704995287","6.32405524784407","7.57576406955165","6.21184563577101","6.57938879331971","4.63132240741775","6.07801081056698","8.13279311431564","9.31379991407563","10.6043971410814","10.0910128307854","11.0778716497076","12.7753287418177","12.934446011977","11.5555704475475","11.6360695451767","10.2732473690136","13.370127359396","14.7138051046861","16.8450266849578","17.3053942367662","17.4067852681036","18.2824203070644","18.341772996414","14.4961418494061","16.0371898581987","16.7569458546489","14.2886829096862","14.7167556136651","14.0013150558519","11.7805740385254","13.5667926798789","13.9693177780045","16.3258502050892","14.7057366680037","13.5982843701675","15.0119803984295","15.2996935612041","13.8912663507893","",
